id;description;status;price_per_hour;model_id;type_id;location_id;owner_id
1;San Marino model Games;AVAILABLE;96409;1;1;1;1
2;Gorgeous Plastic Bike New Israeli Sheqel;AVAILABLE;18261;2;2;2;1
3;Savings Account Park Papua New Guinea;RENTED;90752;3;3;3;2
4;encoding;RENTED;95589;4;4;4;2
5;Grocery;AVAILABLE;76608;5;5;5;2
6;Plastic New Mexico;RENTED;37272;6;6;6;1
7;Integration;AVAILABLE;81254;7;7;7;1
8;connecting Sleek Frozen Table;RENTED;76210;8;8;8;1
9;Tennessee;RENTED;30772;9;9;9;1
10;FTP Granite Profound;RENTED;33552;10;10;10;1
